LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	TRIP COMMENTS	
2023-01-17 22:02:34.17105	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-01-17	07:40:00	obsr543784	S126403444	Traveling	P22	EBIRD	36	0.770		1	1		Aeropuerto	
2023-12-11 19:56:31.839716	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-12-09	13:57:00	obsr4588382	S156170369	Traveling	P22	EBIRD	19	0.240		1	1			
2023-12-23 14:03:32.983203	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-12-22	17:02:00	obsr1415421	S156945514	Stationary	P21	EBIRD	8			2	1	G11356451		
2024-02-18 14:29:44.832599	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-08-06	05:24:00	obsr3338462	S162066861	Incidental	P20	EBIRD				2	0	G11745069		
2024-02-18 14:29:44.832599	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-08-06	05:24:00	obsr2076186	S147497532	Incidental	P20	EBIRD				2	0	G11745069		
2023-08-12 13:36:14.378785	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-08-12	05:44:00	obsr2732965	S147072180	Stationary	P21	EBIRD	300			1	1			
2023-08-14 18:54:23.081163	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-08-14	15:18:00	obsr2732965	S147264214	Traveling	P22	EBIRD	156	11.921		1	1			
2023-07-04 12:57:50.701439	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-05-18	16:37:00	obsr540781	S138307787	Traveling	P22	EBIRD	31	0.850		2	1	G10263299		
2023-07-04 12:57:50.701439	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-05-18	16:37:00	obsr669221	S138307786	Traveling	P22	EBIRD	31	0.850		2	1	G10263299		
2023-12-27 10:42:11.671582	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-11-13	20:11:00	obsr1095083	S154414367	Stationary	P21	EBIRD	2			1	1			
2023-04-22 18:14:23.468009	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-04-22	15:04:00	obsr306774	S134650453	Incidental	P20	EBIRD				1	0			
2023-04-15 21:55:35.11916	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-04-15	15:15:00	obsr306774	S133909767	Incidental	P20	EBIRD				1	0			
2023-03-11 17:25:44.342391	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-03-09	17:43:00	obsr3565484	S130695985	Incidental	P20	EBIRD				2	0	G9803368		
2023-03-12 05:09:11.803144	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-03-11	17:15:00	obsr286988	S130723059	Traveling	P22	EBIRD	4	2.053		1	1		Runway while landing	
2023-03-11 17:25:44.342391	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-03-09	17:43:00	obsr550217	S130571868	Incidental	P20	EBIRD				2	0	G9803368		
2023-08-11 19:25:04.405324	Colombia	CO	Vaupés	CO-VAU							Aeropuerto Fabio Alberto León Bentley	L5709000	H	1.2570922	-70.2339247	2023-08-11	15:16:00	obsr2732965	S147012787	Traveling	P22	EBIRD	188	9.062		1	1			
2023-05-07 17:52:44.836614	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-05-07	06:00:00	obsr1325192	S136530306	Traveling	P22	EBIRD	414	5.610		3	1			
2023-04-09 18:34:02.883374	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-01-22	06:20:00	obsr3405623	S130239303	Traveling	P22	EBIRD	350	3.219		11	1	G9552407		
2023-07-08 23:54:31.161003	Colombia	CO	Vaupés	CO-VAU							Cerrito Verde	L6364642	H	1.2096508	-70.2053833	2023-05-20	05:59:00	obsr540781	S138571705	Traveling	P22	EBIRD	123	1.940		2	1	G10277348		
